string,subtlex_us.fpmw,subtlex_us.cd
yours,204.73,60.43
hands,236.53,60.28
crazy,272.27,60.07
week,238.51,59.9
break,221.08,59.88
men,372.76,59.56
couple,223.41,59.48
either,182.51,59.44
year,277.92,59.38
waiting,211.12,59.37
beautiful,279.73,59.29
wish,235.12,59.23
almost,193.27,59.01
cause,310.04,58.97
afraid,247.67,58.94
cut,229.76,58.89
pay,254.61,58.85
four,255.78,58.8
stand,226.2,58.62
case,282.41,58.24
important,207.59,58.15
tried,186.84,58.02
anybody,226.92,57.98
different,209.53,57.94
hours,214.88,57.93
walk,215.86,57.8
telling,190.78,57.67
eat,251.88,57.63
reason,193.29,57.56
shut,263.82,57.56
inside,211.27,57.36
wife,348.92,57.36
trouble,223.55,57.05
eyes,221.55,56.82
also,206.43,56.81
hate,214.59,56.65
read,241.22,56.43
behind,187.86,56.38
started,187.57,56.35
ahead,198.33,56.34
pick,198.39,56.34
side,200.92,56.33
person,212.88,56.18
damn,283.53,56.16
half,199.14,55.85
young,243.18,55.85
brought,172.27,55.63
sleep,227.94,55.57
funny,218.18,55.54
die,261.14,55.52
between,175.14,55.48
fun,235.49,55.22
kid,339.2,55.14
though,181.94,55.08
wanna,505.8,54.97
front,181.55,54.71
question,198.35,54.69
heart,244.18,54.63
seems,167.55,54.33
number,240.94,54.15
line,206.18,54.11
school,333.12,54.02
against,201.73,53.98
anymore,188.18,53.81
kids,301.1,53.77
phone,269.73,53.67
welcome,179.22,53.64
met,191.33,53.12
shouldn,158.49,53.1
high,195,53.05
outside,170.02,52.8
killed,290.04,52.72
sometimes,179,52.37
moment,187.04,52.35
needs,160.75,52.34
fact,172.57,52.09
sounds,156.27,52
drink,247.39,51.9
dad,507.25,51.87
six,199.53,51.87
answer,176.2,51.79
feeling,168.18,51.79
hour,162.29,51.78
full,166.9,51.57
along,182.94,51.43
glad,171.37,51.41
speak,187.18,51.13
quite,202.59,51.11
buy,192.43,51.1
able,159.9,51.08
death,216.69,51
free,177.53,51
stupid,184.41,50.98
running,157.92,50.88
story,220.78,50.85
lose,164.35,50.68
send,179.78,50.67
trust,178.18,50.57
shot,227.43,50.5
hot,189.84,50.18
truth,192.18,49.99
honey,300.49,49.89
clear,171.82,49.88
till,166.73,49.57
lady,217.08,49.23
water,225.06,49.2
town,247.92,49.07
bed,187.12,49.03
living,156.53,48.97
seem,139.82,48.93
mom,430.39,48.61
sound,143.39,48.51
happens,137.18,48.4
lives,139.69,48.02
save,162.31,48.02
taken,138.65,48.01
months,163.02,47.99
serious,148.35,47.76
touch,147.73,47.69
bet,171.82,47.46
news,164.69,47.4
office,203.9,47.39
leaving,141.39,47.23
body,195.53,47.22
dinner,202.67,47.19
married,238.49,47.11
fire,215.49,47.07
light,165.2,46.78
perfect,158.65,46.67
special,148.57,46.32
hang,147.75,46.24
luck,153.73,46.19
lucky,143.45,46.19
promise,153.12,46.19
uh,717.24,46.19
sick,165.43,46.1
weren,122.29,46.1
asking,128.35,45.89
sense,131.8,45.77
women,195.65,45.62
order,156.57,45.6
its,171.71,45.52
fast,137.45,45.4
brother,283.94,45.24
game,233.84,44.99
catch,135.51,44.89
sent,138,44.83
sort,148.71,44.74
himself,140.55,44.69
boys,224.16,44.67
alive,154.47,44.53
known,123.53,44.49
died,157.22,44.47
party,233.14,44.4
drive,153.14,44.28
playing,147.35,44.19
doctor,263.94,44.15
fight,201.08,44.15
kidding,133.76,44.09
figure,129.37,44.03
pull,146.45,43.86
throw,128.82,43.8
cool,195.88,43.75
calling,123.75,43.63
unless,113.69,43.55
looked,120.9,43.51
hurry,173.65,43.37
girls,208.35,43.34
past,123.76,43.31
hair,153.55,43.3
takes,117.37,43.18
except,111.69,43.04
top,133.43,42.99
food,154.43,42.98
finally,117.43,42.81
straight,122.43,42.8
sweet,145.2,42.66
wonder,116.98,42.53
giving,110.06,42.45
drop,130.61,42.3
worked,115.24,42.25
small,124.96,42.12
plan,145.73,42.06
somewhere,111.53,42.06
less,111.1,42.05
blood,186.12,42.04
none,110.61,41.99
safe,143.2,41.99
sign,133.27,41.95
piece,124.49,41.85
cold,130.16,41.83
weeks,130.14,41.42
bye,180.08,41.4
turned,105.65,41.24
clean,121.24,41.19
dear,223.43,41.11
ah,206.57,40.95
follow,123.2,40.9
seeing,109.63,40.89
mrs,310.94,40.71
learn,118.57,40.7
street,148.18,40.67
works,105.04,40.61
explain,111.18,40.37
ass,226.37,40.28
ain,436.24,40.27
husband,194.8,40.26
wow,160,40.26
possible,114.04,40.21
police,236.16,40.16
wonderful,164,40.08
white,171.45,40
lie,120.25,39.97
felt,119.82,39.93
meant,104.24,39.91
step,118.67,39.85
air,139.02,39.64
fall,118.51,39.6
city,169.1,39.59
moving,119.69,39.58
scared,133.39,39.53
words,122.02,39.52
meeting,132.39,39.43
expect,103.9,39.41
rather,114.22,39.4
worth,109.2,39.35
country,161.84,39.32
absolutely,113.12,39.23
become,115.57,39.18
early,108.04,39.15
company,147.2,39.14
longer,98.94,39.09
children,175.1,39.06
thinks,102.65,39.03
ten,145,39.02
handle,108.41,39.01
shoot,164.94,38.91
control,130.63,38.9
careful,108.82,38.82
feet,120.73,38.82
worse,98.08,38.77
book,176.98,38.67
poor,129.08,38.44
forgot,98.92,38.35
eye,111.78,38.34
busy,106.53,38.22
beat,131.69,38.05
black,167.94,38.03
changed,100.94,38.01
talked,102.47,37.99
ones,101.51,37.97
picture,138.45,37.89
questions,117.96,37.78
broke,105,37.54
pass,108.12,37.53
tired,112.65,37.53
watching,99.63,37.41
em,251.94,37.37
quiet,117.22,37.37
anywhere,88.25,37.35
wear,109.33,37.28
finish,98.92,37.24
mistake,101.96,37.21
ride,135.37,37.15
fault,104.12,36.97
ladies,138.31,36.97
needed,94.47,36.97
quick,108.67,36.92
choice,97.55,36.9
act,109.12,36.79
cannot,126.76,36.72
given,95.12,36.61
hasn,90.69,36.59
child,157.65,36.56
caught,93.94,36.52
shall,185.12,36.49
worried,94.73,36.49
dog,192.84,36.35
sister,180.53,36.31
red,148.06,36.27
coffee,144.53,36.23
spend,93.27,36.13
kept,89.39,36.1
mouth,104.41,36.03
certainly,118.96,36.02
yesterday,96.76,36
sitting,94.39,35.82
attention,98.67,35.77
stick,97.12,35.71
daughter,171.35,35.68
date,141.53,35.61
power,149.02,35.53
gun,213.2,35.48
mad,113.41,35.35
loved,110.33,35.25
middle,89.2,35.25
gentlemen,154.39,35.09
decided,88.65,35.07
write,126.8,35.07
human,124.76,34.94
o,188.2,34.93
wake,105.22,34.92
perhaps,136.06,34.88
missed,89.57,34.86
