string,subtlex_us.fpmw,subtlex_us.cd
backseats,0.06,0.04
backslid,0.06,0.04
backtalk,0.06,0.04
bacteriological,0.06,0.04
badasses,0.08,0.04
baddy,0.1,0.04
badinage,0.06,0.04
baggages,0.06,0.04
bagger,0.06,0.04
bahamian,0.08,0.04
baka,0.1,0.04
bakshi,0.57,0.04
baled,0.06,0.04
balk,0.06,0.04
balladeer,0.06,0.04
ballbuster,0.06,0.04
balletic,0.06,0.04
ballon,0.8,0.04
ballooned,0.06,0.04
balloonist,0.06,0.04
ballsiest,0.08,0.04
bambinos,0.1,0.04
bamboos,0.08,0.04
bamboozle,0.06,0.04
banalities,0.06,0.04
bandbox,0.06,0.04
bandido,0.06,0.04
bandoleers,0.08,0.04
bandying,0.06,0.04
bankrupting,0.06,0.04
bankrupts,0.08,0.04
banky,0.55,0.04
bannisters,0.18,0.04
banqueting,0.06,0.04
bantamweight,0.06,0.04
bantering,0.06,0.04
bantu,0.12,0.04
baobab,0.08,0.04
bap,0.16,0.04
baptizing,0.06,0.04
barbar,0.06,0.04
barbarity,0.06,0.04
barbas,0.24,0.04
bares,0.06,0.04
barhopping,0.06,0.04
barista,0.08,0.04
baritones,0.06,0.04
barkeeper,0.06,0.04
barkers,0.06,0.04
barolo,0.06,0.04
baronial,0.06,0.04
barouche,0.1,0.04
barreled,0.06,0.04
barrelhouse,0.08,0.04
barrenness,0.06,0.04
barrens,0.06,0.04
barrettes,0.08,0.04
basses,0.08,0.04
bassinets,0.06,0.04
bastardized,0.06,0.04
bastions,0.06,0.04
batching,0.06,0.04
bate,0.06,0.04
bated,0.08,0.04
bather,0.06,0.04
batton,0.16,0.04
batts,0.41,0.04
bawd,0.16,0.04
bayberry,0.06,0.04
bayoneted,0.06,0.04
beachcomber,0.16,0.04
beaching,0.08,0.04
beachy,0.06,0.04
beaky,0.57,0.04
beamish,0.08,0.04
beanbags,0.1,0.04
beatific,0.06,0.04
bedeviled,0.06,0.04
bedposts,0.06,0.04
bedsheet,0.06,0.04
bedsore,0.08,0.04
bedsprings,0.06,0.04
beefeater,0.06,0.04
beeman,0.25,0.04
beery,0.31,0.04
befouled,0.06,0.04
begrudging,0.06,0.04
begrudgingly,0.06,0.04
beholds,0.06,0.04
belabor,0.06,0.04
belched,0.06,0.04
belial,0.06,0.04
belike,0.14,0.04
belittles,0.06,0.04
bellflower,0.06,0.04
bellyaches,0.06,0.04
bemused,0.06,0.04
benchmark,0.06,0.04
benedick,0.8,0.04
benefactress,0.06,0.04
benefitted,0.06,0.04
benet,0.47,0.04
benj,0.06,0.04
bens,0.16,0.04
bequeathing,0.06,0.04
bergamot,0.06,0.04
berliners,0.06,0.04
berrigan,0.06,0.04
berserker,0.2,0.04
berthing,0.06,0.04
bespoke,0.06,0.04
bestsellers,0.08,0.04
bestselling,0.08,0.04
betas,0.06,0.04
bethink,0.08,0.04
bettered,0.06,0.04
beveled,0.06,0.04
beveling,0.06,0.04
bg,0.08,0.04
bhutan,0.06,0.04
bibby,0.06,0.04
bibliography,0.06,0.04
bicycling,0.06,0.04
bigheaded,0.06,0.04
bigmouths,0.06,0.04
biked,0.06,0.04
biliary,0.06,0.04
billable,0.06,0.04
bilocation,0.1,0.04
binging,0.08,0.04
bioengineering,0.06,0.04
biogenetic,0.08,0.04
bioluminescence,0.06,0.04
bioluminescent,0.06,0.04
biopsied,0.08,0.04
biotics,0.06,0.04
biracial,0.18,0.04
birdmen,0.14,0.04
bis,0.1,0.04
bitchery,0.06,0.04
biters,0.1,0.04
blackballing,0.06,0.04
blackies,0.08,0.04
blackly,0.06,0.04
blackwood,0.08,0.04
blading,0.06,0.04
blain,0.2,0.04
blancmange,0.06,0.04
bleedings,0.06,0.04
blessedly,0.06,0.04
blights,0.06,0.04
blipped,0.06,0.04
blockaded,0.06,0.04
blockading,0.06,0.04
blockages,0.06,0.04
blogging,0.06,0.04
blonder,0.06,0.04
bloodroot,0.12,0.04
blowgun,0.06,0.04
blowhole,0.06,0.04
blowoff,0.06,0.04
blowpipe,0.08,0.04
blowups,0.06,0.04
blubbery,0.06,0.04
bluebottle,0.06,0.04
bluey,0.08,0.04
blurbs,0.08,0.04
blustery,0.22,0.04
boastfulness,0.06,0.04
boaters,0.06,0.04
boatloads,0.12,0.04
bobwhite,0.1,0.04
bodybuilders,0.1,0.04
bodysurf,0.08,0.04
boer,0.1,0.04
bohemians,0.06,0.04
bol,0.06,0.04
bollock,0.08,0.04
bonanzas,0.14,0.04
bonhomie,0.06,0.04
bonier,0.06,0.04
bonnes,0.06,0.04
boof,0.37,0.04
boohooing,0.06,0.04
bookbinder,0.06,0.04
bookmakers,0.06,0.04
boolean,0.08,0.04
boombox,0.08,0.04
boondoggle,0.06,0.04
boor,0.06,0.04
bootblack,0.08,0.04
bootless,0.06,0.04
bootlickers,0.06,0.04
bootlicking,0.06,0.04
borax,0.1,0.04
borsch,0.08,0.04
bosch,0.06,0.04
botches,0.06,0.04
botheration,0.06,0.04
boudoirs,0.06,0.04
bouffant,0.06,0.04
boulanger,0.1,0.04
bowlful,0.06,0.04
bowser,0.73,0.04
bowwow,0.06,0.04
brachiosaurus,0.1,0.04
brackish,0.08,0.04
braes,0.1,0.04
braggadocio,0.06,0.04
brahman,0.06,0.04
brakeman,0.1,0.04
brasil,0.06,0.04
brasses,0.08,0.04
braveness,0.06,0.04
breadline,0.08,0.04
breathalyzer,0.06,0.04
breezing,0.06,0.04
breton,0.06,0.04
breweries,0.14,0.04
brickle,0.24,0.04
brickyard,0.06,0.04
bridewell,0.1,0.04
bridgewater,0.08,0.04
bridled,0.06,0.04
brigantine,0.06,0.04
briquettes,0.06,0.04
britannic,0.08,0.04
britons,0.08,0.04
broadcasters,0.08,0.04
broadminded,0.06,0.04
broadswords,0.08,0.04
broiling,0.08,0.04
bronchus,0.06,0.04
brooded,0.06,0.04
brookie,0.08,0.04
browbeat,0.06,0.04
browbeating,0.06,0.04
brownstones,0.06,0.04
bruisers,0.08,0.04
brutalizing,0.06,0.04
bubbies,0.12,0.04
bubbled,0.06,0.04
buccal,0.06,0.04
buckeyes,0.06,0.04
buffalos,0.06,0.04
bugling,0.22,0.04
builded,0.06,0.04
bulked,0.06,0.04
bulldozed,0.06,0.04
bullethead,0.1,0.04
bullshits,0.06,0.04
bullyboys,0.06,0.04
bulrushes,0.06,0.04
bumbler,0.06,0.04
bumpiness,0.06,0.04
bumptious,0.08,0.04
bunching,0.06,0.04
bund,0.06,0.04
bundling,0.06,0.04
bunkered,0.06,0.04
bunkmates,0.06,0.04
buoyed,0.1,0.04
burbling,0.06,0.04
burdon,0.43,0.04
bureaucracies,0.06,0.04
burglarize,0.06,0.04
burka,0.06,0.04
burked,0.06,0.04
burks,0.14,0.04
burled,0.06,0.04
burnoose,0.06,0.04
burrs,0.06,0.04
bursar,0.16,0.04
burundi,0.1,0.04
bushido,0.06,0.04
bushmen,0.12,0.04
busloads,0.06,0.04
busman,0.06,0.04
bustard,0.06,0.04
busto,0.06,0.04
butties,0.06,0.04
buttonholes,0.06,0.04
caballo,0.08,0.04
cablegrams,0.08,0.04
cabling,0.06,0.04
caches,0.06,0.04
cactuses,0.08,0.04
caddied,0.06,0.04
cadmium,0.14,0.04
caesarian,0.1,0.04
cag,0.47,0.04
cajoled,0.06,0.04
calabash,0.06,0.04
calaboose,0.06,0.04
calculative,0.06,0.04
caldron,0.08,0.04
calender,0.06,0.04
calgon,0.06,0.04
caliban,0.06,0.04
calibers,0.06,0.04
calibrating,0.06,0.04
caliph,0.16,0.04
callan,0.51,0.04
callas,0.1,0.04
calligrapher,0.06,0.04
callused,0.06,0.04
caloric,0.08,0.04
calumet,0.14,0.04
calvados,0.1,0.04
calvinist,0.06,0.04
calzones,0.08,0.04
cambodians,0.06,0.04
campgrounds,0.06,0.04
campy,0.06,0.04
candelabras,0.06,0.04
canfield,0.55,0.04
caning,0.08,0.04
canna,0.06,0.04
cannulate,0.06,0.04
canopies,0.06,0.04
capacious,0.06,0.04
capella,0.14,0.04
capetown,0.06,0.04
capitalizing,0.06,0.04
capitano,0.08,0.04
capons,0.06,0.04
caporal,0.06,0.04
capos,0.06,0.04
capsizing,0.08,0.04
captaining,0.06,0.04
caramelized,0.06,0.04
carbonised,0.06,0.04
carbonite,0.06,0.04
carbonizer,0.06,0.04
cardholder,0.08,0.04
cardiologists,0.08,0.04
cardsharp,0.06,0.04
careening,0.06,0.04
carer,0.08,0.04
caribe,0.12,0.04
caricaturist,0.06,0.04
carioca,0.06,0.04
carjackers,0.06,0.04
carminic,0.1,0.04
carnality,0.06,0.04
carnet,0.06,0.04
carnie,0.06,0.04
carolines,0.06,0.04
carpetbagger,0.1,0.04
carpools,0.06,0.04
carport,0.1,0.04
carrousel,0.33,0.04
cartouche,0.12,0.04
caseloads,0.06,0.04
casework,0.06,0.04
castellano,0.08,0.04
castoff,0.06,0.04
castoffs,0.06,0.04
castrati,0.08,0.04
casuals,0.08,0.04
catalyzed,0.06,0.04
catalyzing,0.06,0.04
catcalls,0.06,0.04
catchment,0.1,0.04
cate,0.06,0.04
catsup,0.06,0.04
causalities,0.06,0.04
causative,0.08,0.04
cavernous,0.06,0.04
caviare,0.12,0.04
cavitation,0.06,0.04
cavort,0.06,0.04
caws,0.06,0.04
ceil,0.39,0.04
celebrant,0.06,0.04
cemetary,0.06,0.04
centavo,0.1,0.04
centerboard,0.14,0.04
centipedes,0.06,0.04
centrepiece,0.06,0.04
centro,0.18,0.04
cerberus,0.06,0.04
cerebellar,0.08,0.04
ceremonious,0.06,0.04
cerium,0.06,0.04
cert,0.06,0.04
certifies,0.06,0.04
cess,0.06,0.04
cesspit,0.06,0.04
chal,0.06,0.04
challis,0.06,0.04
chambered,0.06,0.04
chammy,0.08,0.04
champaign,0.1,0.04
champignons,0.12,0.04
chancery,0.08,0.04
chandlers,0.06,0.04
changeless,0.06,0.04
channelled,0.06,0.04
chanson,0.06,0.04
chanteys,0.1,0.04
chaperons,0.06,0.04
chapping,0.06,0.04
characteristically,0.06,0.04
characterizing,0.06,0.04
charbroiled,0.06,0.04
charcoals,0.08,0.04
charlies,0.08,0.04
charmless,0.06,0.04
charnel,0.06,0.04
chartering,0.06,0.04
chastising,0.06,0.04
chattered,0.06,0.04
chauffeuring,0.06,0.04
cheapskates,0.06,0.04
cheep,0.12,0.04
cheeping,0.06,0.04
cheerier,0.08,0.04
cheesier,0.06,0.04
cheesiest,0.06,0.04
chere,0.06,0.04
cherokees,0.2,0.04
chested,0.1,0.04
chevrolets,0.06,0.04
chewable,0.08,0.04
chewer,0.08,0.04
chickadees,0.06,0.04
chickee,0.12,0.04
chid,0.06,0.04
chien,0.12,0.04
chiffonade,0.08,0.04
chihuahuas,0.06,0.04
childproofed,0.08,0.04
chillies,0.16,0.04
chintzy,0.06,0.04
chiropractors,0.06,0.04
chirring,0.08,0.04
chisels,0.06,0.04
chiv,0.18,0.04
chlorinated,0.06,0.04
chocked,0.06,0.04
chocolatier,0.12,0.04
cholecystitis,0.06,0.04
choler,0.06,0.04
choleric,0.06,0.04
cholinesterase,0.08,0.04
chophouse,0.08,0.04
choses,0.06,0.04
christs,0.06,0.04
chromatic,0.06,0.04
chromosomal,0.06,0.04
chubb,0.08,0.04
chugged,0.06,0.04
chumping,0.06,0.04
chunder,0.06,0.04
chuppah,0.16,0.04
cia,0.14,0.04
cicerone,0.06,0.04
cid,0.08,0.04
ciggies,0.06,0.04
cincinatti,0.06,0.04
cine,0.12,0.04
cinnabar,0.2,0.04
circulars,0.06,0.04
circumferential,0.06,0.04
cirrhotic,0.06,0.04
civ,0.06,0.04
civilly,0.06,0.04
clackers,0.08,0.04
clairvoyants,0.06,0.04
clambakes,0.06,0.04
clamshell,0.06,0.04
clarksville,0.12,0.04
clasping,0.06,0.04
classwork,0.2,0.04
cleansers,0.06,0.04
clearings,0.06,0.04
clearness,0.06,0.04
cleaved,0.06,0.04
cleaving,0.06,0.04
clenches,0.1,0.04
cliched,0.08,0.04
clickers,0.08,0.04
cliffhangers,0.06,0.04
clinician,0.06,0.04
clobbers,0.06,0.04
clodhoppers,0.06,0.04
clomped,0.06,0.04
clop,0.08,0.04
closeted,0.06,0.04
closetful,0.06,0.04
clothings,0.06,0.04
cloverleaf,0.2,0.04
clubber,0.65,0.04
clucks,0.12,0.04
clucky,0.31,0.04
clumsiest,0.06,0.04
clunked,0.06,0.04
clytemnestra,0.14,0.04
coagulating,0.06,0.04
coalesce,0.06,0.04
coalmine,0.06,0.04
coarctation,0.06,0.04
coasted,0.06,0.04
coattail,0.06,0.04
cobblers,0.08,0.04
cobol,0.08,0.04
cockiness,0.06,0.04
cockpits,0.06,0.04
cocoanut,0.61,0.04
codefendant,0.06,0.04
codswallop,0.08,0.04
coefficients,0.06,0.04
coffeehouses,0.06,0.04
cohosh,0.06,0.04
coif,0.06,0.04
coinage,0.06,0.04
coinciding,0.06,0.04
coining,0.08,0.04
coit,0.08,0.04
coker,0.08,0.04
cokey,0.06,0.04
coldblooded,0.06,0.04
collaterals,0.06,0.04
collation,0.06,0.04
collectable,0.06,0.04
colloquial,0.06,0.04
colloquialism,0.06,0.04
colorable,0.08,0.04
colorized,0.06,0.04
colouration,0.06,0.04
comfit,0.06,0.04
commemorated,0.06,0.04
commentators,0.06,0.04
commercialize,0.06,0.04
commercializing,0.06,0.04
committal,0.14,0.04
commonsense,0.06,0.04
compacted,0.06,0.04
companionway,0.08,0.04
compellingly,0.06,0.04
compensator,0.06,0.04
complainers,0.06,0.04
complemented,0.08,0.04
composes,0.06,0.04
comprises,0.08,0.04
comptroller,0.06,0.04
compulsives,0.06,0.04
compunctious,0.06,0.04
conc,0.06,0.04
conceptualize,0.06,0.04
conceptualized,0.06,0.04
concerted,0.06,0.04
concisely,0.06,0.04
concoctions,0.06,0.04
concomitant,0.06,0.04
condensers,0.16,0.04
condensing,0.1,0.04
condescended,0.06,0.04
conductivity,0.06,0.04
condyle,0.06,0.04
conf,0.1,0.04
confectionary,0.31,0.04
confiscates,0.06,0.04
confusions,0.06,0.04
conger,0.1,0.04
congregants,0.06,0.04
congresswoman,0.31,0.04
conic,0.06,0.04
conjectures,0.06,0.04
conman,0.08,0.04
connived,0.06,0.04
connoisseurs,0.06,0.04
conquistadores,0.06,0.04
conquistadors,0.06,0.04
conscript,0.06,0.04
conservatories,0.1,0.04
consignee,0.06,0.04
consigning,0.06,0.04
consistencies,0.08,0.04
consoles,0.06,0.04
conspicuously,0.06,0.04
constitutions,0.06,0.04
constrains,0.06,0.04
consummating,0.06,0.04
cont,0.06,0.04
contaminates,0.06,0.04
contemplates,0.06,0.04
contemptuously,0.06,0.04
contin,0.06,0.04
contortion,0.08,0.04
contortions,0.06,0.04
contraindications,0.06,0.04
contravention,0.06,0.04
contributory,0.06,0.04
contrivances,0.06,0.04
controling,0.06,0.04
controversies,0.06,0.04
conv,0.06,0.04
convalesce,0.06,0.04
conventionality,0.08,0.04
conviviality,0.08,0.04
cookware,0.12,0.04
coolants,0.06,0.04
cooly,0.27,0.04
coonskin,0.1,0.04
copasetic,0.12,0.04
copiers,0.06,0.04
copperheads,0.06,0.04
coquilles,0.12,0.04
corbeau,0.06,0.04
corkboard,0.06,0.04
corking,0.06,0.04
cormorant,0.1,0.04
corniest,0.06,0.04
corr,0.06,0.04
corralling,0.06,0.04
correlates,0.06,0.04
corroding,0.06,0.04
corticosteroids,0.16,0.04
corundum,0.06,0.04
corvus,0.06,0.04
cose,0.12,0.04
cosmonauts,0.2,0.04
costliest,0.06,0.04
cote,0.06,0.04
coterie,0.06,0.04
cotillions,0.06,0.04
cotta,0.08,0.04
cottonmouths,0.12,0.04
cottony,0.06,0.04
couldst,0.12,0.04
councilor,0.18,0.04
councilwoman,0.14,0.04
counterattacked,0.08,0.04
counterfeiter,0.1,0.04
countering,0.06,0.04
counterinsurgency,0.06,0.04
counterintuitive,0.06,0.04
counterproposal,0.06,0.04
counterrevolutionary,0.12,0.04
countertraction,0.06,0.04
countywide,0.1,0.04
coupler,0.08,0.04
courtships,0.06,0.04
covalent,0.1,0.04
covens,0.1,0.04
coverall,0.06,0.04
coverings,0.08,0.04
coverup,0.08,0.04
covey,0.61,0.04
coxcomb,0.08,0.04
coyly,0.06,0.04
cozies,0.06,0.04
cq,0.31,0.04
crappier,0.06,0.04
crating,0.06,0.04
crawlies,0.12,0.04
crediting,0.06,0.04
credulity,0.06,0.04
cree,0.08,0.04
crees,0.12,0.04
cremating,0.08,0.04
cressida,0.12,0.04
crested,0.1,0.04
crevasse,0.06,0.04
cribbed,0.06,0.04
cribbing,0.06,0.04
criminologists,0.06,0.04
crimping,0.06,0.04
crinkled,0.06,0.04
crinkles,0.1,0.04
criollo,0.14,0.04
crocheted,0.06,0.04
crochets,0.08,0.04
crocks,0.06,0.04
crois,0.06,0.04
crones,0.06,0.04
crookedest,0.06,0.04
crooned,0.06,0.04
cropper,0.29,0.04
crossbows,0.08,0.04
crossbreeding,0.08,0.04
crosscheck,0.08,0.04
crossly,0.06,0.04
croton,0.08,0.04
croute,0.06,0.04
croydon,0.06,0.04
cru,0.06,0.04
cruder,0.08,0.04
crudest,0.06,0.04
crumbed,0.06,0.04
crummiest,0.06,0.04
crump,0.1,0.04
crunk,0.1,0.04
crystallization,0.14,0.04
cuarto,0.06,0.04
cuing,0.06,0.04
cuisines,0.06,0.04
cul,0.08,0.04
culp,0.35,0.04
cultivates,0.06,0.04
cultivator,0.1,0.04
cultureless,0.06,0.04
cums,0.06,0.04
cupids,0.08,0.04
curdled,0.16,0.04
curies,0.12,0.04
currencies,0.06,0.04
curricular,0.06,0.04
curried,0.06,0.04
currying,0.06,0.04
cursor,0.06,0.04
curst,0.14,0.04
curtained,0.06,0.04
curtsey,0.16,0.04
customarily,0.06,0.04
cutaneous,0.06,0.04
cutey,0.06,0.04
cutlasses,0.06,0.04
cyan,0.18,0.04
cybernetics,0.08,0.04
cyclones,0.06,0.04
cynically,0.12,0.04
dabbles,0.08,0.04
dachshunds,0.06,0.04
dae,0.06,0.04
dagon,0.37,0.04
daguerreotype,0.08,0.04
daintily,0.06,0.04
daintiness,0.06,0.04
damnably,0.06,0.04
dampens,0.06,0.04
danceable,0.08,0.04
danner,0.12,0.04
daringly,0.06,0.04
darks,0.06,0.04
darter,0.1,0.04
dau,0.2,0.04
davenports,0.06,0.04
daybook,0.06,0.04
daydreamed,0.06,0.04
daydreamer,0.08,0.04
deadeye,0.06,0.04
deadheads,0.06,0.04
deadlock,0.08,0.04
deafened,0.06,0.04
deans,0.06,0.04
debasing,0.06,0.04
debauch,0.06,0.04
debentures,0.06,0.04
debride,0.06,0.04
debriefings,0.06,0.04
debunked,0.06,0.04
debuted,0.06,0.04
decal,0.12,0.04
decalogue,0.06,0.04
decapitations,0.06,0.04
decimation,0.08,0.04
declaratory,0.08,0.04
decomposes,0.08,0.04
decubitus,0.06,0.04
dedicates,0.06,0.04
deeded,0.06,0.04
deejays,0.14,0.04
deepened,0.06,0.04
deepwater,0.06,0.04
defamatory,0.06,0.04
defaulted,0.08,0.04
defaulting,0.06,0.04
defeatism,0.06,0.04
defecation,0.06,0.04
deferential,0.1,0.04
defiantly,0.06,0.04
defibrillated,0.06,0.04
deflation,0.06,0.04
deforest,0.14,0.04
defroster,0.08,0.04
degeneracy,0.06,0.04
deigned,0.06,0.04
delectation,0.06,0.04
delft,0.2,0.04
delicates,0.08,0.04
deliverer,0.08,0.04
delphine,0.29,0.04
delves,0.06,0.04
demagogue,0.06,0.04
dematerialize,0.06,0.04
democratically,0.12,0.04
demonology,0.1,0.04
demoralize,0.06,0.04
demoralizes,0.06,0.04
demotic,0.06,0.04
demoting,0.06,0.04
demurrer,0.08,0.04
dengue,0.08,0.04
denigrates,0.06,0.04
denigrating,0.06,0.04
densest,0.06,0.04
densitometer,0.06,0.04
deodorants,0.06,0.04
dependants,0.06,0.04
depopulate,0.06,0.04
depravation,0.06,0.04
deprave,0.06,0.04
deprives,0.08,0.04
deprogrammer,0.06,0.04
deprogramming,0.06,0.04
deputation,0.06,0.04
deputise,0.06,0.04
deputised,0.06,0.04
derbies,0.06,0.04
deregulation,0.06,0.04
derided,0.06,0.04
derivatives,0.06,0.04
dermatitis,0.08,0.04
dermatological,0.06,0.04
dermis,0.06,0.04
dern,0.1,0.04
derricks,0.08,0.04
descartes,0.2,0.04
descender,0.06,0.04
desensitization,0.06,0.04
desertions,0.06,0.04
designations,0.06,0.04
desolated,0.06,0.04
despatch,0.06,0.04
despondency,0.06,0.04
despotism,0.06,0.04
despots,0.06,0.04
detaching,0.06,0.04
detente,0.06,0.04
detentions,0.06,0.04
dethrone,0.1,0.04
detoured,0.06,0.04
detoxify,0.06,0.04
deva,0.12,0.04
devalues,0.06,0.04
devant,0.08,0.04
developmentally,0.06,0.04
deviance,0.06,0.04
deviating,0.06,0.04
devotedly,0.06,0.04
dextroamphetamine,0.08,0.04
diabolically,0.06,0.04
dialectical,0.08,0.04
diamante,0.06,0.04
diapering,0.08,0.04
diavolo,0.57,0.04
dibble,0.08,0.04
dicer,0.06,0.04
dickensian,0.08,0.04
diddled,0.1,0.04
diel,0.08,0.04
dietician,0.06,0.04
dietitian,0.06,0.04
diffuser,0.14,0.04
diffuses,0.06,0.04
digests,0.06,0.04
dignifying,0.08,0.04
digressing,0.06,0.04
digression,0.06,0.04
dilettantes,0.08,0.04
dimethyl,0.14,0.04
dimmest,0.06,0.04
dinettes,0.06,0.04
dingdong,0.06,0.04
dingman,0.16,0.04
dinos,0.16,0.04
dint,0.08,0.04
diodes,0.06,0.04
dionysus,0.14,0.04
dioxin,0.1,0.04
dioxins,0.06,0.04
directionless,0.08,0.04
directorship,0.06,0.04
direst,0.06,0.04
disarranged,0.06,0.04
disassembling,0.06,0.04
disassembly,0.06,0.04
disbeliever,0.08,0.04
disbelievers,0.06,0.04
disbursement,0.08,0.04
discarding,0.06,0.04
disclaimers,0.06,0.04
disclosures,0.06,0.04
discombobulated,0.08,0.04
discomforts,0.06,0.04
disconnecting,0.06,0.04
disdainful,0.06,0.04
disembarked,0.06,0.04
disembowelling,0.08,0.04
disembowelment,0.06,0.04
disentangle,0.06,0.04
disfavor,0.06,0.04
disgraces,0.06,0.04
dishtowels,0.06,0.04
disinclined,0.06,0.04
disinfecting,0.06,0.04
disinfection,0.08,0.04
disinfects,0.06,0.04
diskette,0.29,0.04
dispassion,0.06,0.04
dispersion,0.06,0.04
disposals,0.08,0.04
disproven,0.06,0.04
disproves,0.06,0.04
disraeli,0.1,0.04
dissatisfactions,0.06,0.04
disseminating,0.06,0.04
dissemination,0.06,0.04
dissenters,0.08,0.04
dissertations,0.06,0.04
dissipating,0.06,0.04
dissonance,0.06,0.04
dist,0.06,0.04
distending,0.06,0.04
distressingly,0.06,0.04
disuse,0.06,0.04
ditsy,0.06,0.04
ditties,0.1,0.04
diuresis,0.06,0.04
divergence,0.06,0.04
diversified,0.06,0.04
diversifying,0.06,0.04
divertissement,0.06,0.04
divested,0.06,0.04
divination,0.1,0.04
divined,0.08,0.04
divinities,0.06,0.04
divorcement,0.08,0.04
divot,0.27,0.04
dobbins,0.18,0.04
doctrinal,0.08,0.04
doctrines,0.06,0.04
docudrama,0.06,0.04
documentarian,0.06,0.04
doest,0.08,0.04
dogfish,0.08,0.04
doggedly,0.06,0.04
doggerel,0.08,0.04
dogie,0.08,0.04
doit,0.06,0.04
dolichocephalic,0.06,0.04
dollhouses,0.06,0.04
dolling,0.06,0.04
dolor,0.06,0.04
domesticate,0.06,0.04
domestics,0.06,0.04
dominos,0.1,0.04
donned,0.06,0.04
doodlebug,0.12,0.04
doodler,0.06,0.04
doohickeys,0.06,0.04
dooms,0.06,0.04
doorframe,0.06,0.04
doorkeeper,0.06,0.04
doormats,0.06,0.04
dop,0.1,0.04
dormouse,0.1,0.04
dort,0.39,0.04
dosh,0.08,0.04
doublet,0.08,0.04
doux,0.06,0.04
dovetail,0.08,0.04
dovey,0.08,0.04
downcourt,0.06,0.04
downdraught,0.06,0.04
downplayed,0.06,0.04
downpour,0.06,0.04
downstair,0.06,0.04
downstroke,0.06,0.04
doxy,0.06,0.04
doxycycline,0.06,0.04
dozier,0.06,0.04
draggy,0.08,0.04
dragoon,0.06,0.04
dragoons,0.12,0.04
drams,0.06,0.04
drapery,0.06,0.04
dratted,0.06,0.04
drawstring,0.06,0.04
dreg,0.08,0.04
dressmakers,0.06,0.04
dribs,0.06,0.04
drinkable,0.08,0.04
drinky,0.06,0.04
drogue,0.14,0.04
droit,0.06,0.04
dromedary,0.08,0.04
drooly,0.08,0.04
drooped,0.06,0.04
dropkick,0.06,0.04
drosophila,0.08,0.04
dross,0.08,0.04
drover,0.1,0.04
drovers,0.08,0.04
drowse,0.06,0.04
dt,0.06,0.04
dubba,0.06,0.04
ducal,0.53,0.04
ducat,0.08,0.04
ducting,0.08,0.04
ductwork,0.08,0.04
duffs,0.06,0.04
dui,0.06,0.04
dullards,0.06,0.04
dumbing,0.06,0.04
dumbledore,0.86,0.04
dummied,0.06,0.04
dunghill,0.08,0.04
dunst,0.06,0.04
dupatta,0.06,0.04
durbar,0.06,0.04
durians,0.1,0.04
dvorak,0.06,0.04
dwarfed,0.06,0.04
dwindled,0.08,0.04
dynamiter,0.08,0.04
dynamiting,0.08,0.04
dysfunctions,0.06,0.04
dyspnea,0.06,0.04
dz,0.12,0.04
earflaps,0.06,0.04
earmark,0.06,0.04
earnestness,0.06,0.04
earpieces,0.06,0.04
earplug,0.06,0.04
earthen,0.06,0.04
earthward,0.06,0.04
easterner,0.06,0.04
eateries,0.06,0.04
ebbing,0.06,0.04
eccentrics,0.06,0.04
echidna,0.76,0.04
echos,0.08,0.04
ecole,0.08,0.04
ecstatically,0.06,0.04
edelweiss,0.41,0.04
edematous,0.06,0.04
edgeways,0.06,0.04
edify,0.06,0.04
eds,0.08,0.04
educates,0.06,0.04
effervescence,0.12,0.04
effete,0.06,0.04
efficiencies,0.08,0.04
effigies,0.06,0.04
eggy,0.06,0.04
eiderdown,0.06,0.04
eidetic,0.06,0.04
eisenberg,0.08,0.04
ejaculator,0.12,0.04
elaborates,0.06,0.04
elaboration,0.08,0.04
eld,0.06,0.04
electrify,0.1,0.04
electrochemical,0.06,0.04
electromagnetism,0.06,0.04
electromagnets,0.06,0.04
electrophoresis,0.06,0.04
electroplating,0.1,0.04
elegante,0.06,0.04
elegy,0.06,0.04
elev,0.06,0.04
elevating,0.06,0.04
elevens,0.1,0.04
elevenses,0.06,0.04
elites,0.06,0.04
elling,0.12,0.04
elysium,0.08,0.04
embargoes,0.06,0.04
embarrassments,0.06,0.04
embellishments,0.06,0.04
emitters,0.08,0.04
emote,0.06,0.04
emotionless,0.06,0.04
emotive,0.06,0.04
empiricist,0.06,0.04
emus,0.08,0.04
enamoured,0.06,0.04
encapsulate,0.06,0.04
encapsulated,0.06,0.04
encasing,0.06,0.04
encephalogram,0.06,0.04
encirclement,0.06,0.04
encircles,0.06,0.04
enclave,0.06,0.04
encloses,0.06,0.04
enclosures,0.06,0.04
encroach,0.06,0.04
endeared,0.06,0.04
endears,0.06,0.04
endocarditis,0.06,0.04
endocrinology,0.08,0.04
endoscopic,0.08,0.04
endotracheal,0.08,0.04
energizing,0.06,0.04
enforces,0.06,0.04
engendering,0.06,0.04
engrams,0.14,0.04
engulfing,0.06,0.04
ennobling,0.08,0.04
ensembles,0.06,0.04
entendres,0.08,0.04
entrapped,0.06,0.04
entreats,0.06,0.04
entrusts,0.06,0.04
entryways,0.06,0.04
enunciating,0.06,0.04
environmentalism,0.06,0.04
envisions,0.06,0.04
enzymatic,0.06,0.04
epaulet,0.06,0.04
epicondyle,0.06,0.04
epics,0.06,0.04
epidemiologist,0.06,0.04
epitomizes,0.06,0.04
