string, subtlex_uk.zipf, subtlex_uk.DomPoS
0, , 
0, , 
abdallah,1.87,name
abdaly,2.26,name
abdel,3.01,name
abdelbaset,2.7,name
abdelbasset,2.13,name
abdelkader,1.17,name
abdellatif,1.17,name
abderite,1.54,name
abderites,1.17,name
abdi,2.11,name
abdicate,2.37,verb
abdicated,2.47,verb
abdicates,1.39,verb
abdicating,2.02,verb
abdication,2.59,noun
abdin,1.77,name
abdirahman,1.77,name
abdisaster,1.17,verb
abdiweli,1.17,name
abdo,2.73,noun
abdomen,3.44,noun
abdomens,1.93,noun
abdominal,3.22,adjective
abdominals,1.74,noun
abdominoplasty,1.17,adjective
abdon,1.17,name
abdoulaye,1.17,name
abdu,1.3,name
abduct,2.44,verb
abducted,3.27,noun
abducting,2.35,verb
abduction,3.15,noun
abductions,2.32,noun
abductor,1.84,noun
abductors,2.08,noun
abducts,1.7,verb
abdul,3.27,name
abdulaziz,1.54,name
abdulhadi,1.54,name
abdulla,1.74,name
abdullah,3.13,name
abdullahi,2.16,name
abdulmagid,1.39,name
abdulmutallab,2.8,name
abdulwahab,2.09,name
abdur,1.6,name
abe,2.68,name
abeam,1.47,verb
abebe,1.39,name
abecause,1.6,noun
abed,2.2,name
abedin,1.74,name
abeen,1.3,adjective
abeer,1.17,noun
abegging,1.17,verb
abel,2.95,name
abelard,2.28,name
abell,1.77,name
abellio,1.87,name
abelson,1.17,name
aben,1.3,noun
abend,2.29,name
aber,2.38,name
aberaeron,2.2,name
aberafan,1.17,name
aberaman,1.17,name
aberarth,1.3,name
aberavon,2.21,name
aberbach,1.17,name
aberbargoed,1.3,name
aberbeeg,1.17,name
abercarn,1.47,name
abercastle,1.54,name
abercegir,1.17,name
aberconway,1.74,name
aberconwy,2.31,name
abercorn,1.9,name
abercrave,1.3,name
abercrombie,2.26,name
abercynon,1.77,name
aberdare,2.76,name
aberdaron,2.11,name
aberdeen,4.15,name
aberdeens,1.3,name
aberdeenshire,3.35,name
aberdonian,2.21,adjective
aberdonians,1.54,name
aberdour,1.47,name
aberdovey,1.95,name
aberdulais,1.39,name
abereiddi,1.17,name
abereiddy,1.47,name
aberfan,2.38,name
aberfeldy,2.13,name
aberffraw,1.77,name
aberfoyle,1.9,name
abergavenny,2.94,name
abergele,1.97,name
aberglaslyn,1.47,name
aberglasney,1.9,name
abergwyngregyn,1.47,name
abergynolwyn,1.81,name
aberkenfig,1.6,name
aberlady,1.7,name
aberlour,1.54,name
abermawr,1.39,name
abernathy,1.39,name
abernethy,2.04,name
aberpergwm,1.39,name
aberporth,1.77,name
aberrant,1.39,adjective
aberration,2.55,noun
aberrations,1.87,noun
abersoch,1.95,name
abertawe,1.6,name
abertay,2.08,name
aberteifi,1.17,name
aberthaw,1.47,name
abertillery,2.16,name
abertridwr,1.3,name
aberu,1.3,name
abervale,1.17,name
aberystwyth,3.4,name
abet,1.54,verb
abetted,2.29,verb
abetting,2.44,verb
abeyance,1.87,noun
abeylegesse,2.51,name
abfab,1.3,name
abg,1.97,noun
abging,1.3,verb
abgkue,1.17,adjective
abgood,1.39,verb
abh,2.59,name
abhaile,1.17,adjective
abhainn,1.3,name
abhinaya,1.17,noun
abhisit,1.74,name
abhor,2.39,verb
abhorance,1.17,noun
abhoration,1.17,noun
abhorence,1.17,noun
abhorred,1.84,adjective
abhorrence,2.16,noun
abhorrent,2.79,adjective
abhorring,1.17,verb
abhors,2.16,verb
abhra,2.14,name
abi,3.93,name
abib,2.26,name
abichaker,1.17,name
abid,2.11,name
abide,3.45,verb
abided,2.23,verb
abides,2.04,noun
abideth,1.3,adjective
abidine,1.74,name
abiding,3.3,verb
abidjan,2.31,name
abies,1.54,name
abigail,3.45,name
abilene,1.3,name
abilities,3.63,noun
ability,4.64,noun
abily,1.39,name
abimael,1.39,name
abineri,1.54,noun
abingdon,2.74,name
abington,1.3,name
abiola,1.74,name
abit,1.77,adjective
abitary,1.81,adjective
abitova,2.2,name
abject,2.92,adjective
abjection,1.81,noun
abjectly,1.81,adverb
abjure,1.47,verb
abk,1.3,name
abkhazia,1.7,name
abl,1.39,noun
ablation,1.74,noun
ablative,1.93,adjective
ablaze,2.83,noun
ablazing,1.39,verb
able,5.47,adjective
able-bodied,2.98,adjective
abled,1.81,adjective
ablely,1.39,adverb
ableman,1.39,name
ablemarch,1.65,name
ablement,1.3,noun
abler,1.3,noun
ables,1.65,verb
ablest,1.54,adjective
ablett,2.7,name
ablewhite,1.54,name
ablittle,1.17,verb
ablot,1.39,verb
abltd,1.17,noun
ablution,1.3,noun
ablutions,2,noun
ably,2.44,adverb
abm,1.74,name
abn,2.29,name
abnegate,1.3,verb
abnegation,1.39,noun
abner,1.81,name
abney,3.51,name
abnormal,3.17,adjective
abnormalities,2.64,noun
abnormality,2.46,noun
abnormally,2.51,adverb
abo,1.81,noun
aboard,4.11,preposition
abode,2.94,noun
abodes,1.93,noun
abodi,1.39,noun
abol,1.39,name
abolish,3.42,verb
abolished,3.49,verb
abolishes,1.65,verb
abolishing,3.06,verb
abolishment,1.47,noun
abolishs,1.17,verb
abolition,3.26,noun
abolitionist,1.95,noun
abolitionists,1.97,noun
abolitions,1.17,noun
abomb,1.17,adjective
abominable,2.77,adjective
abominably,2,adverb
abominate,1.17,adjective
abominated,1.3,verb
abomination,2.71,noun
abominations,1.47,noun
abominator,1.47,name
abon,1.17,name
abone,1.17,verb
abook,1.65,name
aboon,1.7,name
aboot,3.23,noun
abor,1.3,name
abore,1.3,verb
aboriginal,3.26,adjective
aboriginals,2.37,name
aborigine,2.02,name
aborigines,2.5,name
abort,2.92,verb
aborted,2.8,adjective
aborting,2.16,verb
abortion,3.77,noun
abortionist,2,noun
abortionists,1.65,noun
abortions,3.04,noun
abortive,2.11,adjective
aborts,1.39,verb
abos,1.17,noun
abou,2.08,name
aboud,1.6,name
aboukir,1.3,name
aboul,1.39,name
abound,2.73,verb
abounded,2.08,verb
abounding,1.7,verb
abounds,2.29,verb
about,6.51,preposition
about00,1.3,number
abouten,1.17,adjective
abouter,1.3,noun
abouting,1.39,verb
aboutle,1.17,adjective
aboutly,1.17,adverb
abouts,2.83,verb
abouture,1.17,verb
abouty,1.3,noun
above,4.94,preposition
aboves,1.17,verb
abows,1.17,verb
aboyne,2.16,name
abp,1.3,name
abproblem,1.17,verb
abra,2.31,name
abraca,1.65,name
abracadabra,2.96,name
abracadoo,1.3,noun
abrade,1.17,adjective
abraded,1.3,adjective
abrades,1.17,verb
abrading,1.17,verb
abrahae,2.16,unclassified
abraham,3.51,name
abrahamic,1.54,name
abrahams,2.6,name
abram,2,name
abrama,1.17,name
abramavich,1.3,name
