string,cp.IMAG,cp.FAM
condemned,3.28,5.43
confidence,3.4,6.02
confident,3.63,5.94
congenial,3.13,3.54
connoisseur,5.2,3.94
conquest,4.03,4.81
conscientious,3.16,5.1
conscious,3.16,6.11
consciously,2.41,5.83
conservative,3.41,5.85
consider,2,6.02
considerable,2.03,5.86
consist,1.81,5.96
consistent,2.44,5.4
constant,2.34,5.71
constituted,1.66,4.31
contents,3.57,6.06
context,2.13,5
continued,2.22,6.63
contract,4.5,5.52
contradictory,2.28,5.33
contributed,2.19,5.92
contributing,2.28,5.63
contribution,3.67,5.45
convention,5.07,5.06
cool,4.41,6.29
cooperation,3.4,5.42
cooperative,3.06,5.4
copybook,4.6,3.82
cord,6.03,4.82
core,5.17,4.92
corn,6.47,6.16
corner,6.13,6
corpse,6.5,4.46
cost,3.57,6.54
costume,5.8,4.94
cot,0,4.31
cottage,6.5,6.4
cotton,6,5.55
could,1.31,6.62
country,5.47,6.38
courteous,3.5,5.6
courtship,5.3,4.63
cow,0,5.37
cowardly,3.66,5.16
cowboy,0,5.61
cowhide,5.4,3.86
cradle,6.23,5
crag,4.77,2.85
cranium,4.53,3.53
created,3.13,5.47
creative,3.81,5.53
creator,3.87,4.71
creature,4.6,5.31
crime,4.43,6.08
crinkled,3.81,4.61
crippled,5.38,5.1
crisis,3.43,5.61
criterion,1.83,3.89
critical,2.53,5.57
cross,4.97,5.78
crossed,3.44,5.7
crushed,4.47,5.17
crutch,0,4.81
cry,5,6.21
cuisine,5.57,3.75
cunning,0,4.51
cup,0,6.71
curfew,4.59,5.11
current,5,5.49
custom,3.43,5.85
customary,2.34,4.92
cynical,3.5,4.04
daffodil,6.47,4.44
dalliance,2.43,1.55
damsel,6.03,3.13
dancing,5.53,6.19
dare,2.66,5.46
dark,5.63,6.57
dawn,6.37,5.55
daybreak,6.43,4.27
daydream,0,5.96
daylight,5.9,5.96
dead,5.5,6.55
deafening,4.56,4.55
deal,3.16,5.45
death,5,6.43
debacle,2.1,1.59
debonair,3.97,3.55
decaying,4.69,5.16
deceit,3.3,4.88
decorated,4.25,5.31
decoration,5.37,5.57
decoy,4.16,4.09
decree,3.3,4.55
deduction,2.67,5.32
deed,3.63,5.15
deep,4.69,5.71
defeated,3.47,5.83
defiant,3.84,4.59
delegates,3.94,4.94
deliberate,3,5.48
delicate,3.47,5.96
delirium,4.8,3.57
dell,3.37,2.49
deluge,4.57,3.48
demanding,2.66,5.73
democracy,2.47,5.92
demon,4.7,4.39
demonstration,0,5.63
dependable,3.13,5.71
depressed,4.22,5.87
deprived,3.31,5.35
derelict,4.6,2.85
describe,2.66,6.5
description,2.69,6.14
desire,3.34,5.9
destroyed,3.75,5.98
destruction,5.27,5.49
destructive,4.09,5.83
determination,3.57,5.67
determine,2.41,5.79
detonation,4.57,3.43
develop,2.41,5.98
development,3.07,5.76
devil,5.63,5.14
devotion,3.9,4.78
devoured,3.69,4.63
diamond,6.67,5.88
dice,0,5.27
differences,0,6.04
different,2.84,5.98
diffusion,3.4,4.73
dignified,3.56,5.17
diligent,3.78,4.6
