string,blp.rt,blp.rt.zscore,blp.accuracy,blp.accuracy.zscore
junked,570.1724138,-0.256723996,0.775,0.064657879
junket,623.875,0.57465051,0.2,-1.976303946
junkets,737.2857143,1.226848088,0.210526316,-1.9389408
junkie,582.8684211,-0.27183969,0.975,0.774557644
junkies,642.1428571,-0.102488575,0.921052632,0.583071525
junking,604.8,0.124529662,0.575,-0.645241886
junks,586.137931,-0.16942002,0.789473684,0.116032203
juno,918.5714286,1.049641235,0.421052632,-1.191677888
junta,719.3333333,0.688075187,0.157894737,-2.125756528
juntas,758,1.212802434,0.131578947,-2.219164393
juries,749.5,0.325786602,0.75,-0.024079592
jurist,835.9,1.142044938,0.289473684,-1.65871721
jurists,658.5714286,0.423786831,0.394736842,-1.285085754
juror,690.2307692,0.507174017,0.684210526,-0.257599252
jurors,669.1851852,0.293980974,0.710526316,-0.164191387
jury,636.8918919,-0.0178995,1,0.863295115
just,546.1794872,-0.616518434,0.975,0.774557644
justice,554.2894737,-0.529225371,1,0.863295115
justly,650.6666667,0.054744481,0.868421053,0.396255797
justness,698.0714286,0.842026023,0.421052632,-1.191677888
jute,811,0.790147158,0.184210526,-2.032348666
kaffir,707.5,0.802141943,0.078947368,-2.405980121
kaffirs,705.5,1.670615554,0.075,-2.419991299
kail,754,0.118345693,0.026315789,-2.592795849
kails,NA,NA,0,-2.686203711
kaiser,842.7916667,0.898294361,0.65,-0.379029474
kapok,600,2.193811189,0.025,-2.597466241
kappa,782.6363636,0.822731431,0.3,-1.621354063
kaput,693,0.669167511,0.3,-1.621354063
karma,634.6410256,0.024079049,0.975,0.774557644
kashmir,804.6785714,1.120173558,0.7,-0.201554533
kava,677.8,0.632775595,0.125,-2.242516358
kayak,671.5625,0.3172111,0.8,0.15339535
kayaks,667.8484848,0.353159028,0.825,0.24213282
kazoo,720.1176471,0.943209576,0.425,-1.17766671
kebab,601.5675676,-0.209578656,0.973684211,0.769887253
kebabs,599.8888889,-0.076550016,0.925,0.597082703
keel,716.5833333,0.881006434,0.6,-0.556504416
keels,830.1428571,0.847032071,0.368421053,-1.378493616
keen,562.5897436,-0.420563752,0.975,0.774557644
keened,743.6666667,1.241344738,0.25,-1.798829005
keener,690.6666667,0.493577587,0.815789474,0.209440069
keenest,746.1428571,0.471500241,0.552631579,-0.72463857
keening,729.8571429,0.578126923,0.368421053,-1.378493616
keenly,658.8,0.199257472,0.710526316,-0.164191387
keenness,694.4074074,0.494359748,0.7,-0.201554533
keens,625.8421053,0.254093496,0.475,-1.000191769
keep,514.85,-0.632695589,1,0.863295115
keeper,553.5263158,-0.518102585,1,0.863295115
keepers,592.5,-0.292251818,0.973684211,0.769887253
keeping,543.6410256,-0.538475422,1,0.863295115
keeps,583.2820513,-0.270733858,0.975,0.774557644
keepsake,653.5,0.224102494,0.925,0.597082703
keepsakes,628.0909091,0.011199142,0.825,0.24213282
keg,633.3703704,0.153236714,0.736842105,-0.070783524
kegs,649.4166667,0.177032026,0.631578947,-0.44441498
kelp,678.4,0.43011306,0.375,-1.355141651
kelvin,713.8571429,0.578944727,0.684210526,-0.257599252
ken,771,0.949153194,0.5,-0.911454298
kenned,585.8571429,-0.153324152,0.210526316,-1.9389408
kennel,623.0833333,-0.107923373,0.9,0.508345232
kennelled,807.3913043,1.218604863,0.625,-0.467766945
kennels,626.2894737,-0.035020052,0.95,0.685820174
kens,580.7142857,-0.125648954,0.35,-1.443879122
